code_uic,cp,a2021,a2020,2019,a2018,a2017,a2016,a2015
87313338,80500,17226,15700,16867,14222,17002,17562,16591
87313882,80200,335592,246978,468805,470321,510885,457110,461701
87214627,67190,19093,17456,26388,24619,25236,26880,26619
87193383,57580,6950,5431,8999,8589,10210,11525,12662
87324335,2500,32712,32721,28484,38649,51563,57945,58573
87345157,62110,439477,391428,632805,593805,603932,562571,570879
87393561,91430,231674,175992,454785,462240,474176,475809,475777
87303875,68040,11943,18930,19495,20227,26196,29867,31209
87575134,86220,4682,4722,6006,5013,4789,4683,3017
87713859,21120,86326,85318,171380,192670,218702,208226,216293
87734202,63500,471128,411109,573560,482284,532162,497542,518082
87597062,36100,178972,150188,225644,204175,219390,211367,212196
87393306,92130,2531839,2303136,5823421,5933850,6140140,6198775,6228280
87393074,92130,1635243,1030188,2449700,2477283,2511813,2500733,2476163
87577403,86240,10316,7509,10228,8885,8493,9533,9591
87413716,76290,7089,4865,7934,5428,8120,8253,10051
87471334,35150,180846,173173,200625,199836,205288,306547,367720
87171314,51140,94269,81555,76262,77268,91780,96554,103105
87394155,28300,107028,96053,119108,120614,138061,145516,147729
87571885,37300,44320,40648,59792,54472,58228,59882,64733
87191700,54240,33378,26881,37612,30885,37144,34647,35302
87191619,57110,583,760,1359,860,994,1470,1585
87214114,67230,24428,22068,28436,24598,26817,29731,31420
87592634,87110,2301,1852,3261,2746,4685,5854,5492
87611806,32600,299817,258547,332085,286500,348704,327780,327705
87761239,38080,269107,199388,286245,251901,264152,246449,286944
87635581,13011,10255,7390,10851,8554,7963,5171,4047
87271171,95170,2624736,1355505,2958201,2929551,2884526,2938751,2978869
87775171,48250,21510,13692,23374,24742,26453,31174,35358
87481754,44500,541595,390788,585576,538183,571079,535098,502380
87756874,6430,1633,2044,3758,2694,3516,2757,3035
87481564,44240,22876,18377,31155,25404,24352,24850,20869
87485474,79260,18345,15336,19339,12109,12038,11074,13394
87009696,37300,9147,7664,10886,11104,11507,13502,17749
87313239,80250,9743,7969,8722,8237,8856,9104,9207
87286427,59136,2347,1408,4540,3634,4687,5429,4910
87478081,35111,12790,9665,15788,12175,14017,14777,14727
87755306,83130,184235,107607,166866,135474,149990,122358,90856
87478099,35350,48289,34881,49866,40271,31673,25953,26543
87481416,44690,127771,109882,191917,195733,191169,154299,111314
87582635,33470,151355,118014,189202,156975,153705,148957,158726
87485185,17220,17939,13853,18035,9346,6372,119,0
87286187,59110,12674,8254,9570,8509,10248,10580,11508
87473124,22440,546,803,672,141,9,7,45
87487884,49250,125368,96478,167703,167257,178319,169405,163319
87755314,83400,171742,107072,148961,120943,129885,103414,97928
87582643,33260,341568,269877,406288,354138,362996,338306,355115
87721548,69890,163158,130937,157983,158978,163632,143412,117579
87723478,38110,908265,740604,1118580,1055591,1078152,1059154,1025289
87611459,82290,18839,11941,11468,9992,10242,9073,11127
87313676,60570,38292,25990,27855,25292,23832,21395,17744
87645150,15150,87,18,51,31,9,16,32
87584441,24150,22715,14034,14540,22985,22235,20266,22561
87611855,82360,18406,14791,16800,18339,23252,21427,20983
87144303,88320,352,456,505,242,530,1020,1019
87543140,41600,205129,173643,238286,226203,234230,239096,252593
87721860,69870,20077,15377,25077,21666,22679,26273,32362
87473264,22130,1342,1847,2057,3078,3324,3656,5031
87734319,43300,21742,15948,25507,20721,26246,22834,23675
87734350,48300,25922,20007,28294,25211,30735,29672,26222
87671123,65300,82322,53489,67169,73290,95005,91450,105410
87296012,2000,792522,625531,823870,806156,920217,930065,963358
87545160,91510,332153,205073,425172,432949,444831,446652,447043
87611483,66760,53545,37219,56705,47425,49671,48806,51611
87594796,46130,247,338,412,584,533,576,627
87597740,23600,408,251,518,421,394,294,301
87144162,88600,3270,3175,5376,11298,14006,13068,10706
87381202,60240,14420,8309,11988,13502,16843,19806,20267
87271395,93350,12470323,9835861,15544841,14912785,14285674,13441953,12609210
87697359,93350,4403085,896650,2400737,2456747,1246435,0,0
87746883,74660,2262,1890,2074,1642,1418,1404,1377
87594614,19240,854,275,217,412,465,243,517
87295220,59360,25044,25360,27490,21113,23327,23445,26810
87611046,31410,61949,47824,51144,52728,62201,53867,57731
87444323,14190,12044,15895,29111,27263,30546,23684,23324
87316687,62250,1804,2705,4388,4759,6494,6223,6543
87413013,76600,1716469,1463213,2307865,2064894,2177533,2026260,2187132
87396002,72000,5867393,4279841,7608629,7564034,8176901,7912660,8127475
87721522,69260,152601,155515,193773,185874,187504,169704,155012
87393298,78610,514506,354142,715156,733118,754939,761212,764750
87681627,91830,36744,10114,40266,41814,43875,45020,45980
87734699,43000,293996,209696,340273,290301,258444,298132,314622
87113472,93340,5784022,4111461,9515448,9505714,9472141,9284783,9054018
87471342,35240,14312,12032,12541,15678,16854,25002,29396
87757575,83700,10088,6186,7145,3821,4583,5471,6564
87755447,83460,903427,615701,941604,855748,1001725,923366,914408
87492108,94400,1871348,1011006,2591321,2586453,2578806,2525837,2462788
87393280,78690,567670,369081,789251,820436,856897,879511,896622
