code_uic_complet,nom_gare,total_voyageurs_non_voyageurs_2015,total_voyageurs_non_voyageurs_2016,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2019,total_voyageurs_non_voyageurs_2020,total_voyageurs_non_voyageurs_2021
87342048,Achiet-le-Grand,92018,92084,96451,92323,97848,67305,71432
87171702,Aguilcourt - Variscourt,9821,8979,7368,6155,8796,10436,12294
87313098,Ailly-sur-Somme,162534,154908,163330,157681,168438,131401,141082
87713636,Aiserey,26267,24134,25375,24241,25004,19409,21511
87319012,Aix-en-Provence TGV,5212927,5235505,5690886,5534968,5529463,3167797,4487146
87746115,Albens,86131,86676,99810,84275,106006,67880,90061
87741645,Albertville,411838,380028,386448,334196,356454,232455,286202
87615195,Albi Madeleine,63723,52084,55019,44787,51855,37520,57591
87721266,Albigny - Neuville,242051,234131,248505,231762,240974,188123,251269
87775288,Alès,523513,551574,576382,521900,542284,384842,497091
87394205,Amilly Ouerray,23290,25333,23907,23309,26442,24910,25521
87481192,Ancenis,1076664,1115563,1203715,1157751,1248518,778934,969924
87575332,Anché - Voulon,13583,11143,9727,8847,9770,7457,10031
87726406,Andrézieux-Bouthéon,24472,19698,23002,25637,37934,20292,21399
87484048,Angers Maître École,16649,12663,12708,16070,23126,18317,23674
87583005,Angoulême,2020819,1986721,2158917,2014635,2148663,1307929,1784600
87745497,Annemasse,977439,958873,992382,772613,887222,809866,1279646
87317255,Anvin,19182,18542,12147,2643,811,412,3630
87296459,Appilly,5493,6728,6961,7832,7990,5965,6565
87582668,Arcachon,958525,943996,1083803,1080760,1292779,919669,1171230
87144410,Arches,58746,52117,53916,51087,64056,40349,54228
87597120,Argenton-sur-Creuse,170559,157769,168092,161190,192154,148238,181533
87753657,Arles,782385,769614,812595,734699,784438,407461,670183
87342014,Arras,5182086,5172884,5452299,5075699,5371360,3277711,3724885
87394486,Arrou,6001,6770,7322,7113,8096,7471,9504
87543058,Artenay,61368,60354,62856,62685,71415,60524,74019
87594465,Aubazines - Saint-Hilaire,8467,7895,8054,6662,8137,5011,6209
87317230,Auchy-lès-Hesdin,9640,7936,5041,1414,1133,589,7418
87444059,Audrieu,16984,16471,16234,14323,15635,10779,14265
87281428,Audruicq,288767,292105,305750,291570,312681,246811,290404
87545657,Auneau,32939,33197,31784,30121,30190,16876,21915
87476200,Auray,988235,998220,1037396,982728,1109909,779322,1084849
87713347,Auxonne,337148,340160,355617,338385,373690,308332,323215
87543207,Avenue du Président Kennedy Maison de Radio France,1832910,1838993,1836151,1804822,1773182,836594,984899
87718551,Avoudrey,19852,17448,17198,15850,21973,13740,10155
87448514,Avranches,28911,23086,24311,16954,16899,13362,19124
87171561,Ay,64703,67550,67310,59687,58894,42312,41948
87437806,Aytré Plage,13118,12485,11792,9352,11310,7205,9707
87141408,Azerailles,15799,12881,11678,10053,10951,7448,8498
87271494,Aéroport Charles de Gaulle 2 TGV,13021148,13581113,14704083,14961932,15283854,5035012,6312246
87613604,Bagnac-sur-Célé,4367,4038,4727,3358,1569,920,1924
87394411,Bailleau-le-Pin,77159,75577,74398,76427,79178,67661,95047
87342592,Bailleul-Sir-Berthoult,1035,1628,951,687,852,640,540
87313569,Balagny Saint-Épin,14172,11228,11831,10936,10295,6145,7808
87474189,Bannalec,23529,23072,22688,22562,28103,25645,29217
87175042,Bar-le-Duc,518672,484575,519100,476511,520730,349939,422143
87118299,Bar-sur-Aube,83007,81953,83462,74247,89686,79554,75139
87615757,Baraqueville Carcenac Peyralès,5699,6053,6141,6223,9837,7645,10006
87582759,Barsac,23455,21672,20850,17065,19071,14286,17115
87574152,Baule,11778,11273,12138,14919,16635,8932,11469
87718460,Baume-les-Dames,219640,212465,213721,200332,230033,193902,221292
87611723,Baziège,74680,67474,68316,50573,55961,52111,72192
87317198,Beaurainville,26699,23410,13336,2962,2379,1744,13682
87491076,Beillant,396,205,200,11,89,55,27
87141804,Belleville,28800,28504,28306,23040,25006,17494,20628
87276550,Belloy - Saint-Martin,173862,178318,182248,188233,182798,70829,160085
87784892,Bena Fanes,2,10,4,33,78,23,46
87214122,Benfeld,452956,456915,491647,499387,568087,364911,432888
87584268,Bergerac,361849,343754,371690,339295,231789,249033,348562
87592352,Bersac-sur-Rivalier,4818,5404,5126,4566,4347,3064,3049
87215335,Berthelming,19951,20717,20083,21396,21267,15676,18806
87718007,Besançon Viotte,2333037,2242759,2327766,2141025,2368816,1744777,2099019
87276642,Bessancourt,635190,668488,700747,707523,737892,340303,693514
87144188,Biffontaine,3041,3142,2871,1579,1175,806,45
87582478,Biganos Facture,877757,857708,960526,948818,1064982,731413,954079
87757690,Biot,314143,244870,299102,284370,341782,188389,256868
87713073,Blaisy-Bas,42547,39990,43707,35558,36585,36567,36394
87574475,Bléré - La Croix,160351,159769,173976,174670,182004,127337,176794
87721787,Bois-d'Oingt - Légny,49282,46924,25221,28578,35206,23861,27078
87784801,Bolquère - Eyne,1720,1473,1378,1188,1965,2147,3333
87478065,Bonnemain,6891,8156,7397,4713,4671,3261,3107
87581009,Bordeaux Saint-Jean,14891776,15059756,18492961,19853073,21821796,13807523,20314398
87317016,Boulogne Tintelleries,383316,365365,383423,357726,393366,260656,302752
87757534,Boulouris sur Mer,25803,22844,15423,11894,19593,13038,23267
87723429,Bourgoin-Jallieu,1672808,1771897,1915356,1838905,1933201,961337,1439055
87486324,Bournezeau,1587,716,573,729,949,320,1058
87684118,Bourron-Marlotte - Grez,103948,114171,127852,138473,151614,83212,155144
87682138,Boussy-Saint-Antoine,3725311,3712941,3677684,3585833,3487143,1921990,2906672
87726216,Bouthéon,36970,32178,37248,33990,43426,26961,34858
87182659,Breitenbach-Haut-Rhin,31894,31159,28724,27185,30219,28763,29562
87317180,Brimeux,1431,514,451,3,152,380,1330
87131961,Brion - Montréal-la-Cluse,44243,38422,32521,32292,35922,25344,34660
87448084,Briouze,32692,34775,35494,34356,37420,24431,31297
87594002,Brive-la-Gaillarde,1113072,1045725,1080750,948604,1012543,672706,971200
87694166,Broye,5896,6225,7856,6919,4836,5732,5014
87682120,Brunoy,4604922,4792605,4964873,5045320,5141272,920246,3464332
87592162,Bugeat,7142,5815,5810,5992,7502,4761,5689
87316067,Buire-sur-l'Ancre,2244,2704,3036,2632,2990,2843,2579
87613000,Cahors,448317,435792,443887,373914,414505,329807,441033
87756395,Cap-d'Ail,67959,73501,89868,77459,99635,74013,95563
87172353,Carignan,31371,28893,24363,20816,20213,10707,14028
87615039,Castelnaudary,368305,372905,384937,309127,352252,259728,348633
87584136,Castillon-la-Bataille,187413,173563,186208,165780,126556,133458,181516
87345561,Caudry,144088,133481,144371,132101,160222,102999,126324
87473066,Caulnes,27383,31786,36453,45131,55299,42095,49281
87381905,Cergy Préfecture,11996226,12213175,12347999,12279673,12236286,5992100,2055037
87583690,Chalais,17180,14990,16052,16505,22302,16085,22195
87683128,Champigny sur Yonne,63772,58208,58963,53895,80015,57749,74932
87381475,Chanteloup-les-Vignes,838046,823290,796777,757040,719119,331726,826353
87486332,Chantonnay,19927,16152,15532,17660,17727,8294,12552
87722710,Chaponost,59240,65119,77448,80970,91801,74261,89155
87721530,Charbonnières-les-Bains,283231,294320,316262,302447,315943,227926,265726
87381194,Chars,204576,207620,211762,210567,216668,61405,186583
87142000,Chaumont,600403,562790,559935,481459,490468,310448,368713
87393173,Chaville - Vélizy,1963899,1860522,1754176,1623827,1505780,538929,817000
87116111,Chelles - Gournay,10591778,10797607,10947125,10902348,10874698,5503458,7258472
87393637,Chilly-Mazarin,998852,1018999,1033197,1025321,1027095,343304,455942
87783290,Chirac,87,15,25,15,22,59,20
87342220,Chocques,6723,6643,5183,4462,5799,3389,3386
87484303,Cholet,690784,651787,676452,588766,624853,402313,564293
87751230,Château-Arnoux-Saint-Auban,39276,38741,40836,31432,18133,7155,11083
87543066,Château-Gaillard,3856,4606,4982,3358,3720,3302,5504
87574665,Château-Renault,66646,61802,57896,58237,68702,52114,69991
87471524,Châteaubourg,487793,502365,523929,521666,581537,448423,486621
87597005,Châteauroux,981109,938803,984930,910567,1006520,700057,771747
87758607,Châtelet les Halles,29526620,30742412,31827871,32450133,32978142,7980634,23513054
87611376,Cintegabelle,123392,123578,130112,98091,102217,72035,92186
87782607,Clermont La Pardieu,386177,362136,383228,310048,326766,248104,278096
87313304,Clermont de l'Oise,1154895,1148242,1210066,1144411,1211075,875850,1004422
87784256,Collioure,89884,68177,97534,82088,101806,61975,85175
87594382,Condat - Le Lardin,33378,32350,33306,28841,28351,15934,21220
87713537,Corgoloin,13779,12360,13228,12843,15088,12146,8681
87345132,Coron de Méricourt,30520,31557,35421,33675,33746,12501,14460
87781161,Coursan,2427,2154,2550,2708,4105,2409,2668
87394221,Courville-sur-Eure,384193,365994,371373,377459,407625,308137,421695
87481804,Couëron,32373,32029,37526,46990,56980,33555,42387
87613232,Cransac,3690,3520,3594,3123,3204,2310,3332
87761783,Crest,56260,57212,59650,58015,75386,52330,53630
87608802,Créteil Pompadour,6748141,7064928,7375710,7588995,7763379,1904409,6072149
87725713,Crêches-sur-Saône,19655,22115,25708,24107,27490,16541,27922
87741074,Culoz,278419,277122,287683,256445,326085,189548,245044
87214551,Dachstein,69998,69926,80157,88930,106254,67074,80022
87142497,Damblain,579,581,601,406,261,41,186
87700146,Danjoutin,0,0,0,87,1924,948,1007
87734673,Darsac,7577,8542,6034,2834,3386,2094,2160
87673202,Dax,1121643,1092530,1163250,1080759,1164973,794978,1208755
87696484,Decize,101184,90908,94386,78441,94895,61224,74071
87297143,Dercy - Froidmont,13255,13129,13503,11496,9871,10378,9055
87415018,Dieppe,733730,684565,721683,717188,796347,537971,669507
87478073,Dol-de-Bretagne,394141,379307,404127,380495,427379,295448,384796
87281006,Dunkerque,1948766,1868161,1952193,1848111,2146399,1379970,1571548
87214536,Duppigheim,139137,145130,143119,142482,138972,90922,110016
87613174,Dégagnac,352,347,308,151,215,267,697
87784207,Elne,73536,67193,78349,64944,65786,36863,58495
87765826,Entraigues-sur-la-Sorgue,39616,68044,116305,96934,99479,49169,74397
87214221,Epfig,30750,26404,24355,22409,26024,21334,26908
87590356,Erdre-Active,20552,23906,31751,33668,41140,27016,29592
87611707,Escalquens,63141,62219,64311,49190,57402,45517,53746
87272096,Esches,32991,38543,44624,42395,44886,32345,40101
87681601,Essonnes Robinson,360066,342324,324412,301824,281500,101432,207462
87784827,Estavar,82,77,96,228,181,138,255
87313387,Estrées-Saint-Denis,46836,45473,45439,43288,49403,35533,47579
87571422,Esvres sur Indre,21833,22696,24786,28381,25371,17079,22226
87193516,Farébersviller,3275,3169,3296,2646,2505,930,687
87182626,Fellering,27050,29281,26713,24528,25221,23468,22995
87611962,Fenouillet - Saint-Alban,1094,64,42,7,22,14,14
87316752,Feuquerolles,574,547,397,238,10,0,0
87696633,Flez-Cuzy - Tannay,810,895,989,1032,1356,668,1149
87784769,Fontpédrouse,3614,3703,3009,2886,3012,2240,3213
87485326,Fors,28785,29733,32571,31508,28194,27613,30792
87471201,Fougeray - Langon,12838,10415,9697,13342,16822,12307,13835
87313841,Fouilloy,478,1231,1277,1394,1747,1692,2151
87576108,Foëcy,24726,22704,25935,25818,27253,21722,24973
87142240,Froncles,33672,32376,34600,33271,36457,37461,44133
87773556,Frontignan,401340,406562,423739,350713,367634,279780,413342
87141077,Frouard,41051,37882,45636,46822,54606,33962,50077
87444182,Frénouville - Cagny,10752,13308,15249,15018,19546,9392,9513
87574533,Fréteval - Morée,3792,4175,3635,3447,3872,2479,3856
87615252,Gaillac,288958,280319,301624,255107,329121,287638,366628
87212332,Gambsheim,200663,208740,226000,224116,243205,192661,215421
87313262,Gannes,2426,1408,2269,2805,1790,1782,1921
87113860,Gargan,3304052,3299886,3297972,3233856,3150620,6591131,4574239
87393348,Gazeran,271971,278919,285161,284182,287054,119283,678866
87718577,Gilley,21001,13031,16797,16559,21293,13290,10390
87611772,Gimont Cahuzac,57265,51139,56408,43555,54608,37732,49236
87582858,Gironde-sur-Dropt,2968,3028,2468,1725,3176,3107,4266
87172130,Givet,102220,92403,89898,79315,81721,65458,75160
87576876,Gièvres,53581,55532,53522,49554,56134,46244,62263
87755397,Gonfaron,18252,20036,20367,21017,26393,17023,25694
87613141,Gourdon,100610,97145,97678,84878,96737,75932,103255
87276246,Goussainville,4912463,5045910,5171933,5196033,5227952,2643838,2004993
87615377,Gragnague,11090,13393,13242,13357,18618,16440,18035
87747402,Grenoble Universités - Gières,758231,748799,837144,772998,894346,551556,686340
87214593,Gresswiller,177838,187503,194057,189944,211292,159916,167991
87746248,Groisy - Thorens-Glières,63268,67629,77445,68730,76660,67698,85991
87142265,Gudmont,1642,1915,2071,2697,3576,1808,1222
87213223,Gundershoffen,75320,72360,64765,64665,79706,72612,84884
87597609,Guéret,83399,81869,87870,75117,79157,41808,55050
87342261,Ham-en-Artois,4195,3738,3193,3036,2454,2413,2895
87313114,Hangest-sur-Somme,42167,37668,39105,39230,43635,32903,34438
87413302,Harfleur,6840,5481,4578,4029,4761,3338,3944
87286096,Haubourdin,66832,66311,71492,56343,61310,40675,51198
87316059,Heilly,4917,4628,4278,3945,5151,4490,6721
87286062,Hellemmes,4392,3459,2678,3003,3251,1452,941
87677005,Hendaye,458763,390902,414813,370721,429575,223715,309145
87381889,Herblay,3221262,3342904,3380147,3353417,3341643,1702962,2982632
87182329,Herrlisheim-près-Colmar,47744,53434,56497,51605,51225,46806,54133
87212167,Hochfelden,262622,260968,272514,257706,289164,225438,255252
87213413,Hoelschloch,20874,21663,18232,18341,20638,15442,17942
87213686,Hoerdt,246304,247311,247972,248690,262474,199606,236286
87141473,Houdemont,5255,4059,5519,6689,7963,6841,9155
87193540,Hundling,37398,35070,34555,34386,38274,36599,25896
87755629,Hyères,248414,427502,537675,489062,532361,365960,572805
87394437,Illiers-Combray,183481,178885,185400,192194,207955,190068,268972
87484360,Ingrandes-Le Fresne-sur-Loire,69883,66843,62191,56089,60098,37354,55226
87481622,Issé,21166,21193,24814,19694,20099,14172,19007
87345397,Iwuy,7871,6520,6973,5870,7181,5446,4585
87141010,Jarville-la-Malgrange,25777,27277,30080,32184,41635,30636,34886
87295014,Jeumont,75639,69142,72038,73200,92964,62713,62954
87175091,Joinville,68019,63789,61577,53597,57765,39873,49377
87393512,Jouy-en-Josas,829490,840393,844660,833186,829498,308399,542195
87545244,Juvisy-sur-Orge,38614086,40463299,42199755,43157732,40222510,21871129,41887674
87193664,Kalhausen,13738,12860,12170,12902,10784,7484,11747
87338525,Krimmeri Meinau,188725,202022,214492,209658,206425,149166,163885
87191312,Kuntzig,1865,1398,561,622,929,1135,999
87113886,L'Abbaye,865256,872604,878787,869325,856326,1018355,753017
87721431,L'Arbresle,919562,911712,975753,911819,950385,612641,715485
87756809,L'Escarène,21104,24023,33789,31953,36730,17737,18129
87342436,La Bassée - Violaines,301583,327529,344024,318305,339416,242702,269871
87387142,La Bonneville-sur-Iton,8913,10024,10923,6705,5879,4318,5242
87297085,La Bouteille,5906,5950,5251,4266,3202,2878,2997
87590364,La Chapelle - Aulnay,12746,13054,15547,17143,21028,14849,20741
87474221,La Forest-Landerneau,62521,66200,72890,71687,74192,71590,70489
87726232,La Fouillouse,7065,5073,7385,6627,9693,5484,7312
87381871,La Frette - Montigny,894694,888918,890871,875843,863960,412039,877452
87775254,La Grand-Combe,19051,24681,24853,19328,18485,14586,22005
87746842,La Joux,322,239,202,370,330,217,272
87571513,La Membrolle-sur-Choisille,1699,1766,1468,1822,1498,591,100
87592808,La Meyze,2861,2226,2819,2753,2759,1776,2251
87486423,La Mothe-Achard,47771,50390,52838,50511,57654,38867,52342
87164798,La Plaine Stade de France - Saint-Denis - Aubervilliers,14298405,14819294,15307926,15486341,15759876,6700974,9777230
87592295,La Porcherie,4962,4509,2569,2613,3740,3009,2804
87486019,La Roche-sur-Yon,1132205,1093014,1126164,1059245,1102979,714668,992645
87485003,La Rochelle,2388270,2242371,2618172,2511730,2830359,1887280,2606852
87592378,La Souterraine,242616,232792,250017,224841,238442,130158,162211
87396366,La Suze-sur-Sarthe,189437,190340,185663,167541,156941,76263,102898
87393256,La Verrière,5270556,5019988,4756541,4420623,4138664,1785924,1913278
87641191,La Ville Gozet,777,411,328,321,453,635,719
87212316,La Wantzenau,49467,51688,40097,39613,48018,24431,30439
87611129,Labarthe-Inard,962,1310,926,230,149,230,0
87715219,Labergement-Sainte-Marie,8873,11347,9101,7977,8043,5664,6856
87582551,Labouheyre,50611,49775,59972,61925,73331,51758,74588
87615526,Labruguière,8753,7179,7676,5795,7055,4084,6922
87612028,Labège Village,18291,13774,11923,9169,11329,8161,8633
87592147,Lacelle,854,777,1212,918,1118,870,1528
87611434,Lacourtensourt,32813,29161,30941,30550,42915,34168,46036
87116319,Lagny - Thorigny,3561964,3668740,3760262,3784219,3821213,1587104,2624826
87172072,Laifour,15579,14169,13866,13466,13098,12463,12973
87276204,Laigneville,176956,189531,201504,188990,216752,149764,182346
87718437,Laissey,12249,13604,14954,13102,16678,15728,18126
87753731,Lamanon,24474,26519,31118,30637,39147,22952,33790
87584243,Lamonzie-Saint-Martin,1321,1289,646,601,750,300,841
87417501,Lancey,129970,128247,145878,145158,177862,111790,133377
87474270,Landivisiau,165764,155315,156427,161156,189189,142321,178212
87295642,Landrecies,18448,18121,18718,17320,20066,11742,11053
87571828,Langeais,239394,238328,258389,265823,270177,187040,257398
87473223,Lannion,212904,219925,239673,240091,278099,197244,283669
87763755,Laragne-Montéglin,24927,24148,24952,20265,17947,9031,12238
87683268,Laroche - Migennes,510598,492836,494144,425926,453908,290429,468352
87781583,Le Bousquet-d'Orb,1279,845,666,965,1053,663,1217
87681395,Le Bras de Fer,2937923,2976043,2997353,2961835,2937587,1349141,2262218
87595751,Le Buisson-de-Cadouin,52212,47744,49851,43165,36727,23717,33183
87775825,Le Cailar,234,598,467,833,1551,3148,6140
87734160,Le Cendre - Orcet,181096,169886,175637,148699,165263,132225,142300
87478743,Le Genest-Saint-Isle,49794,49447,48536,48174,33964,13634,16978
87747220,Le Grand-Lemps,90125,84438,87471,91910,103290,80000,100421
87645473,Le Lioran,25580,29538,23083,22312,16717,6284,9536
87481424,Le Pallet,183978,200280,230553,229230,261461,176704,205432
87741470,Le Pont-de-Beauvoisin,260827,229279,256461,207280,179897,111278,126284
87295857,Le Quesnoy,508509,463982,495518,492494,530612,380930,401249
87764472,Le Teil,9167,4536,1967,4794,8047,3311,3480
87345025,Lens,2132431,2138149,2198889,1994360,2138178,1327286,1547810
87721555,Lentilly,330415,341186,395910,391407,417136,273796,313288
87781559,Les Cabrils,92,75,107,110,221,144,228
87113845,Les Coquetiers,1050903,1063744,1072490,1064397,1049625,1618216,946919
87317305,Les Fontinettes,22148,24662,26935,25605,30715,14946,17846
87575118,Les Ormes,3146,2355,2828,2501,2882,2261,3648
87746776,Les Pélerins,3717,6921,7626,4505,3969,3262,4288
87594564,Les Quatre-Routes-du-Lot,2784,1638,1479,1383,1358,1101,2016
87487876,Les Rosiers-sur-Loire,52118,48540,51409,53053,60806,41186,55385
87486449,Les Sables-d'Olonne,462320,465236,487027,454952,489533,337733,474717
87546226,Les Saules,1345018,1333471,1318722,1281314,1247139,548437,1131310
87723718,Les Échets,178469,186855,203731,183734,201026,104316,142660
87276212,Liancourt - Rantigny,300934,307332,320926,298020,316244,199281,223385
87381210,Liancourt-Saint-Pierre,30159,30593,31326,25428,23845,14353,18934
87718130,Liesle,8435,7003,5420,4209,7137,8911,8761
87286005,Lille Flandres,23772895,23314544,25055228,24410240,27607050,17603244,20171260
87381582,Limay,532193,544316,592489,630158,671707,359551,756757
87212274,Limersheim,86933,82384,88136,95107,100755,65038,75186
87682401,Livry-sur-Seine,93577,98867,104859,107957,112341,51652,101959
87313122,Longpré-les-Corps-Saints,184290,185253,194017,175305,175526,119785,134980
87313817,Longroy - Gamaches,3376,2731,2093,1346,744,948,3056
87272195,Longueil-Annel,18279,21085,23440,22726,22887,13925,19333
87116137,Longueville,780859,800623,818352,816896,824175,368201,660085
87597104,Lothiers,955,1088,980,752,388,45,39
87478511,Louverné,1609,1001,1006,968,158,100,208
87734368,Luc,113,195,392,228,437,370,633
87581181,Ludon-Médoc,26090,19439,31621,37270,44365,37832,49986
87215160,Lutzelbourg,59662,57524,62679,68739,73763,50185,59383
87276576,Luzarches,353586,419434,496949,499525,500028,201311,438258
87611558,Luzenac - Garanou,9369,9797,10892,8507,9222,5151,8402
87576363,Luçay-le-Mâle,15277,15517,14251,12893,12090,12396,20077
87722025,Lyon Perrache,7441559,7412715,7619399,7471166,9782065,5669298,7329538
87144048,Lépanges,5395,4202,4271,3741,1703,570,1429
87741439,Lépin-le-Lac - La Bauche,60382,53151,63877,55118,56105,40970,48545
87481366,Machecoul,48422,61895,68551,66000,79509,54369,71593
87745588,Machilly,17134,18531,22105,17101,22807,28442,46415
87746412,Magland,20754,16746,21825,18787,24673,18143,23993
87592279,Magnac - Vicq,14010,11319,12782,13083,13498,13287,11895
87683847,Mailly-la-Ville,2584,2359,2971,3429,5072,3609,4580
87681155,Maisons-Alfort - Alfortville,14171754,14204397,14180872,13921116,13624825,5704366,9556579
87476689,Malansac,26583,26645,28905,31400,37905,30972,50063
87718510,Mamirolle,18392,17105,19376,17418,21159,15420,12182
87485060,Marans,1423,1995,1412,576,843,376,310
87271882,Margival,37,10,1,1,1,0,0
87342188,Maroeuil,22069,21672,20374,13588,14208,9351,5573
87287169,Marquette,6,14,13,121,42,140,10
87784629,Marquixanes,567,595,578,385,589,659,1419
87597625,Marsac,4083,4472,5327,3445,6328,3458,4258
87144295,Martigny-les-Bains,13316,11700,11297,10896,6953,5565,9880
87393702,Massy TGV,2800899,3278434,5038677,3961877,3659500,2265388,2955965
87471227,Massérac,11547,8415,8028,10227,7720,1210,2309
87381483,Maurecourt,573999,575732,562963,539598,519455,251355,601236
87396580,Mayet,35328,34907,33544,36665,33455,16029,19727
87783605,Mende,27755,28816,26957,26699,26910,23418,28964
87574194,Mer,282408,264216,273336,266397,285636,176433,247199
87184408,Meroux,0,0,0,1385,33018,19146,30976
87381830,Meulan - Hardricourt,464652,452944,488974,515702,544247,279314,608161
87147322,Meuse TGV,253133,269422,306562,299141,294068,178001,245392
87751370,Meyrargues,85837,81655,84717,69327,68148,36743,39002
87742007,Modane,231669,230291,254203,242963,243026,193988,229826
87597674,Montaigut-le-Blanc,1376,1515,1462,1277,1341,391,598
87611244,Montauban Ville Bourbon,1401464,1382314,1434746,1209352,1310482,1044259,1404670
87471086,Montauban-de-Bretagne,206894,203332,212344,218045,266976,181650,215707
87672113,Montaut Bétharram,414,180,361,246,439,157,284
87611699,Montbartier,51823,54208,55637,43759,54779,47521,60683
87694307,Montchanin,100200,93253,85623,69086,78852,68536,107684
87491183,Montendre,35834,30199,38497,39578,45974,23555,37979
87296418,Montescourt-Lizerolles,17477,15710,17121,13215,12805,10896,14903
87396291,Montfort-le-Gesnois,52305,50314,46945,43923,35207,11272,11697
87381160,Montgeroult - Courcelles,31502,32647,27669,22831,19162,11168,21034
87684100,Montigny-sur-Loing,216959,218474,220429,217333,214722,123409,132847
87413724,Montivilliers,35185,32244,30880,23296,22450,14499,17515
87641001,Montluçon,475707,429584,432186,386620,376779,239140,280202
87611848,Montrabé,47262,44147,47958,36713,40745,34704,39009
87184275,Montreux-Vieux,67143,69764,80588,77246,80973,56853,61878
87746867,Montroc le Planet,3052,3238,3327,4196,4393,2607,3434
87715433,Morbier,2632,3392,3589,2979,4844,5674,8355
87673103,Morcenx,183129,178132,196185,184891,216259,173160,236183
87682278,Moret - Veneux-les-Sablons,1669911,1626767,1580699,1504220,1436155,906114,1502530
87192286,Morhange,92337,88379,94951,85641,95491,67681,86458
87212456,Mothern,4910,3894,3462,3323,4919,2617,3201
87182063,Mulhouse,6601410,6508448,6808851,6651754,7000488,4485393,5361433
87182394,Munster,343104,345048,345654,315192,306775,257017,265177
87725689,Mâcon,1529635,1417296,1509237,1401182,1519578,1036061,1307771
87713065,Mâlain,35307,35658,34726,33070,35042,36504,43075
87313064,Méricourt - Ribemont,29761,30772,32162,35096,39174,35184,42876
87278259,Mérignac Arlac,83656,76646,89808,108444,141346,64264,80857
87725838,Mézériat,43827,39153,42703,41173,41775,40104,44867
87313379,Namps - Quevauvillers,1084,1198,794,598,459,413,1366
87575167,Nerpuy,4050,3850,3317,5377,8067,3618,4861
87571547,Neuillé-Pont-Pierre,18864,18315,14988,15307,15069,13053,14943
87141507,Neuves-Maisons,23481,16825,17214,20336,26275,13677,21389
87696005,Nevers,1094729,1039452,1100460,1023305,1096248,699532,964653
87756353,Nice Riquier,2260849,2243964,2781357,2645310,3140749,1901005,2334975
87756254,Nice Saint-Augustin,1345721,1427719,1852579,1746451,2085292,1007357,1348624
87116566,Nogent-l'Artaud - Charly,376537,380751,421798,440909,490265,283466,367152
87574368,Noizay,3212,2412,2147,2553,2951,2881,3678
87543157,Nouan-le-Fuzelier,39077,39239,40678,35741,35637,26442,29593
87172023,Nouzonville,39711,37045,30330,22648,22170,20182,33050
87713529,Nuits-Saint-Georges,317028,299429,302742,275836,303911,250485,246841
87743351,Nurieux-Volognat,24107,23201,22712,18300,20701,9901,12886
87595132,Négrondes,2202,2600,1898,1607,2425,1806,4890
87576454,Nérondes,22791,20498,17891,16909,20245,17334,22127
87775007,Nîmes,6323409,6562782,6841918,6116249,5976568,3948663,5626731
87214288,Obernai,648453,639768,663806,631775,691394,493365,583441
87215632,Oermingen,37456,36005,34756,30956,25491,22606,31151
87755231,Ollioules - Sanary-sur-Mer,390187,398454,444643,420139,449442,305738,393443
87486431,Olonne-sur-Mer,3266,4641,6516,8271,8921,6788,10075
87271585,Ormoy-Villers,31704,34870,39181,36850,34935,19872,37966
87473868,Paimpol,50181,42884,52887,59474,66268,52778,65144
87113209,Pantin,8605431,8551965,8472409,8231485,8005187,3862190,5100100
87581710,Parempuyre,19234,18296,23953,34682,52843,27698,35888
87758904,Paris Gare du Nord,263994241,268774859,275962568,271824491,272898471,107666015,148849186
87487173,Parthenay,43508,40421,39519,31913,24252,6148,5953
87192203,Peltre,33283,29581,26189,25365,27544,19134,20934
87751362,Pertuis,51241,51534,53695,16784,9661,5067,5900
87184267,Petit-Croix,23786,16124,12130,12121,18014,16419,19990
87672337,Peyrehorade,20360,17959,18223,15140,19160,12908,20981
87759290,Picon Busserine,10906,10309,8841,3197,5253,4073,10272
87764308,Pierrelatte,357908,328305,356177,322604,358800,233791,284023
87393421,Plaisir - Grignon,3129448,3086849,3031163,2913422,2824885,1425832,2204517
87172171,Poix-Terron,62413,70173,77877,79069,89351,87037,93089
87761742,Poliénas,23765,27218,32515,28145,32826,24212,29666
87594663,Pompadour,10996,8892,7890,3018,1816,843,1762
87381111,Pont Cardinet,3511372,5161047,5633400,6103661,6759706,3309895,6257223
87734459,Pont de Dore,68005,64099,64852,55333,58791,37081,40437
87474056,Pont-de-Buis,10252,7553,5625,12148,17857,12707,21778
87734087,Pont-du-Château,50059,49051,49169,44687,46360,42416,43341
87682526,Ponthierry - Pringy,511417,513654,513571,503026,495137,225928,421325
87784264,Port-Vendres,26408,23462,24506,21974,27707,16364,28342
87611491,Porta,1,96,14,19,6,1,0
87696211,Pougues-les-Eaux,17385,14638,12487,12061,13517,9332,12459
87144428,Pouxeux,5278,7487,12728,10635,13399,10604,14666
87594754,Puybrun,1505,1325,916,753,1084,715,1060
87595009,Périgueux,1049615,1010331,1040446,892742,974716,664600,884310
87182717,Raedersheim,43876,45192,48062,46533,52673,34582,41128
87343319,Raismes,37624,39930,43713,42094,47322,30960,30946
87393314,Rambouillet,5551959,5380142,5197945,4924244,4690955,2237887,3141742
