code_uic_complet,nom_gare,total_voyageurs_non_voyageurs_2015,total_voyageurs_non_voyageurs_2016,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2019,total_voyageurs_non_voyageurs_2020,total_voyageurs_non_voyageurs_2021
87213421,Soultz-sous-Forêts,226448,223433,239074,229328,226985,171615,211898
87212209,Steinbourg,78504,75710,67964,62493,61815,62913,47457
87590828,Sucé-sur-Erdre,236154,264490,268757,263138,243822,129119,152465
87382341,Sèvres - Ville-d'Avray,2063088,2413013,2500917,2544443,2607842,775329,1945487
87753715,Sénas,19725,20299,20981,24934,30374,20405,30929
87722546,Sérézin-du-Rhône,231956,217855,229907,232096,283716,188689,226220
87491043,Taillebourg,252,563,453,368,663,0,0
87765354,Tarascon,274583,266356,282880,245829,266809,141940,230751
87276634,Taverny,1535157,1578665,1616718,1641770,1602736,714243,1429505
87615245,Tessonnières,4302,3946,4217,3185,2846,2381,4080
87543199,Theillay,20697,19187,15058,12958,13704,10604,16028
87713099,Thenissey,7543,6434,5167,5561,5014,3006,2697
87745646,Thonon-les-Bains,566317,557645,585195,478400,527938,379043,539748
87276741,Thourotte,58107,50880,53099,43935,45937,29235,37603
87381822,Thun le Paradis,345491,348143,366370,377907,391728,198768,432673
87784751,Thuès Carença,2538,2481,1931,2042,2100,1984,3196
87328195,Thésée,4145,5421,4384,3370,5585,5126,4458
87484147,Tiercé,183633,181547,181367,180477,153434,67589,84722
87485151,Tonnay-Charente,13000,11577,13460,11928,15321,12983,19631
87713198,Tonnerre,172146,160953,171573,158832,168337,107169,132885
87286542,Tourcoing,211786,1050770,1310236,914508,763393,531921,667888
87783456,Tournemire - Roquefort,548,542,499,482,937,343,714
87571000,Tours,5944257,5801365,6095416,5863480,6202721,3940268,5471315
87696161,Tracy - Sancerre,10927,11329,12679,10480,11580,7910,11141
87322347,Traou Nez,139,233,203,111,178,93,131
87473819,Trégonneau - Squiffiec,2018,1209,828,703,813,559,747
87182352,Turckheim,50446,49115,49480,40872,47400,28530,28166
87775106,Uchaud,2275,1804,1729,1813,1696,2249,4858
87576348,Urçay - La Perche,5743,4913,5286,4200,3024,1943,925
87594200,Uzerche,82141,81930,82453,66798,69918,43161,56268
87761007,Valence,3262897,3156560,3222484,2783857,3298266,2092159,2743721
87343004,Valenciennes,3965073,3836994,4056110,3851104,4151148,2542811,2847858
87192732,Valleroy - Moineville,11184,7290,6264,5797,7166,3707,4073
87641357,Vallon-en-Sully,35921,31586,32852,28753,26669,21357,23694
87746727,Vaudagne,323,53,47,53,51,77,150
87271601,Vaumoise,621,892,886,609,961,2191,3422
87775817,Vauvert,1528,1634,2149,2447,3329,13909,30828
87584714,Vayres,18649,19040,23578,32246,46569,32356,44823
87118257,Vendeuvre-sur-Barse,43824,36815,38538,38423,44126,31182,35792
87382861,Versailles Rive Droite,5357929,5327810,5562438,5705373,5855418,2039014,4698156
87296129,Vervins,63320,59760,57553,45483,39575,40255,48176
87615138,Verzeille,517,903,356,109,189,221,532
87763300,Veynes Dévoluy,115222,110459,116432,97636,96302,49653,80514
87597633,Vieilleville,2273,2749,2819,2504,3417,1677,1403
87576009,Vierzon,1107242,1070652,1081849,992655,1089246,728896,1020274
87576090,Vierzon Forges,2816,1812,1533,1138,1940,1644,2773
87681304,Vigneux-sur-Seine,6569971,6625906,6647451,6554135,6458442,3080249,4745315
87775197,Villefort,9035,9444,10287,9878,11344,8837,12875
87673616,Villefranque,280,26,39,12,14,360,771
87681809,Villeneuve Triage,1502738,1472868,1439542,1381636,1322503,450589,1065829
87683102,Villeneuve-la-Guyard,150250,132946,131745,111457,158296,119821,140275
87545277,Villeneuve-le-Roi,1629780,1637092,1635284,1602239,1576299,803594,1091400
87683219,Villeneuve-sur-Yonne,51020,45945,46191,41845,53213,34580,46759
87444398,Villers-sur-Mer,6884,6601,6951,5775,6889,3706,4892
87697318,Villetaneuse Université T11,0,0,950582,1872981,1840999,675432,3126857
87113795,Villiers-sur-Marne - Le Plessis-Trévise,8383560,8426955,8434061,8276068,8146119,3664906,5653263
87297051,Viry-Noureuil,1064,549,278,390,280,195,427
87725820,Vonnas,92618,93865,93489,94344,91327,85383,101754
87584177,Vélines,53795,48680,50005,46346,30900,32254,48189
87723320,Vénissieux,237815,224160,216601,199633,231619,142104,176632
87141606,Vézelise,20218,16887,10559,6844,4113,3218,2646
87182360,Walbach,6899,5271,6960,5720,5326,3027,3636
87345595,Wambaix,0,50,116,78,4,2,0
