datasetid,recordid,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2021,total_voyageurs_non_voyageurs_2015,segmentation_drg,total_voyageurs_2020,total_voyageurs_non_voyageurs_2016,total_voyageurs_2018,totalvoyageurs2017,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2019,code_uic_complet,code_postal,total_voyageurs_non_voyageurs_2020,total_voyageurs_2019,total_voyageurs_2021,total_voyageurs_2016,total_voyageurs_2015,nom_gare,record_timestamp
frequentation-gares,af68d6331018a9a4246bc7aefe08f52b98e14d2b,92323,71432,92018,c,67305,92084,92323,96451,96451,97848,87342048,62121,67305,97848,71432,92084,92018,Achiet-le-Grand,2022-11-18T15:48:22.919+01:00
frequentation-gares,f7eafa5a9f578b1e3cfac9d1e4a4343e3d36bbc3,6155,12294,9821,c,10436,8979,6155,7368,7368,8796,87171702,2190,10436,8796,12294,8979,9821,Aguilcourt - Variscourt,2022-11-18T15:48:22.919+01:00
frequentation-gares,d47f616628bebaed0c285f77c424b85c7caf3bb9,157681,141082,162534,b,105120,154908,126145,130664,163330,168438,87313098,80470,131401,134750,112866,123926,130027,Ailly-sur-Somme,2022-11-18T15:48:22.919+01:00
frequentation-gares,66dc18791203131fe981e208523251dc4722bea5,24241,21511,26267,c,19409,24134,24241,25375,25375,25004,87713636,21110,19409,25004,21511,24134,26267,Aiserey,2022-11-18T15:48:22.919+01:00
frequentation-gares,de1e4506d8b1ed633e67f95271316538dd554e73,5534968,4487146,5212927,a,2059068,5235505,3597729,3699076,5690886,5529463,87319012,13592,3167797,3594151,2916645,3403078,3388402,Aix-en-Provence TGV,2022-11-18T15:48:22.919+01:00
frequentation-gares,7b4dd3631f0b760a8a728c675bb9a7e7711a6129,84275,90061,86131,c,67880,86676,84275,99810,99810,106006,87746115,73410,67880,106006,90061,86676,86131,Albens,2022-11-18T15:48:22.919+01:00
frequentation-gares,24e3a1f7a322486a0b02f510c75b8d455196ae74,334196,286202,411838,b,202236,380028,290751,336210,386448,356454,87741645,73200,232455,310114,248996,330624,358299,Albertville,2022-11-18T15:48:22.919+01:00
frequentation-gares,2753ef1f1f2cdc4256b8a63b9d5bf38463c85984,44787,57591,63723,c,37520,52084,44787,55019,55019,51855,87615195,81000,37520,51855,57591,52084,63723,Albi Madeleine,2022-11-18T15:48:22.919+01:00
frequentation-gares,78df03bf1ce238cb6159dfad60274b2e1e9c6b72,231762,251269,242051,b,186241,234131,229444,246020,248505,240974,87721266,69250,188123,238564,248756,231790,239630,Albigny - Neuville,2022-11-18T15:48:22.919+01:00
frequentation-gares,7af1621002b83567101a82a4d08c048e763c9a24,521900,497091,523513,b,307874,551574,417520,461106,576382,542284,87775288,30100,384842,433827,397673,441259,418810,Alès,2022-11-18T15:48:22.919+01:00
frequentation-gares,12f510e3ac1dc73d36341946d90b24b45d2b0d21,23309,25521,23290,c,24910,25333,23309,23907,23907,26442,87394205,28300,24910,26442,25521,25333,23290,Amilly Ouerray,2022-11-18T15:48:22.919+01:00
frequentation-gares,be3a635ae677d7a874c038a879e34a145e440fa0,1157751,969924,1076664,b,623147,1115563,926200,962972,1203715,1248518,87481192,44150,778934,998815,775939,892451,861331,Ancenis,2022-11-18T15:48:22.919+01:00
frequentation-gares,f5f92cd7c32b478cefe120f84cddc46a624b89ba,8847,10031,13583,c,7457,11143,8847,9727,9727,9770,87575332,86700,7457,9770,10031,11143,13583,Anché - Voulon,2022-11-18T15:48:22.919+01:00
frequentation-gares,ebd327d0642727e335d0042a14f17b73c7427099,25637,21399,24472,c,20292,19698,25637,23002,23002,37934,87726406,42160,20292,37934,21399,19698,24472,Andrézieux-Bouthéon,2022-11-18T15:48:22.919+01:00
frequentation-gares,b611dee5cbc217f916f1cd60d92c7f8013bf01d0,16070,23674,16649,c,18317,12663,16070,12708,12708,23126,87484048,49000,18317,23126,23674,12663,16649,Angers Maître École,2022-11-18T15:48:22.919+01:00
frequentation-gares,cdd0361b0ee706c3a1e200f868f46eef081fab48,2014635,1784600,2020819,a,1111740,1986721,1712440,1835079,2158917,2148663,87583005,16000,1307929,1826364,1516910,1688713,1717696,Angoulême,2022-11-18T15:48:22.919+01:00
frequentation-gares,889d992dce80605ab4dd9556939011fa0f75381d,772613,1279646,977439,b,647893,958873,618090,793906,992382,887222,87745497,74100,809866,709777,1023717,767099,781951,Annemasse,2022-11-18T15:48:22.919+01:00
frequentation-gares,4a23e0679f8d0ec2ee69998051b2ffdfb2f615a6,2643,3630,19182,c,412,18542,2643,12147,12147,811,87317255,62134,412,811,3630,18542,19182,Anvin,2022-11-18T15:48:22.919+01:00
frequentation-gares,92346501afd2f0e91caca380889de5f0ea922f0c,7832,6565,5493,c,5965,6728,7832,6961,6961,7990,87296459,60400,5965,7990,6565,6728,5493,Appilly,2022-11-18T15:48:22.919+01:00
frequentation-gares,715fe9d8cd787122c14b660a6bff523df727316c,1080760,1171230,958525,b,772522,943996,907838,910395,1083803,1292779,87582668,33120,919669,1085934,983833,792957,805161,Arcachon,2022-11-18T15:48:22.919+01:00
frequentation-gares,e6c77503ad590639dffd31f93baa907029212bba,51087,54228,58746,c,40349,52117,51087,53916,53916,64056,87144410,88380,40349,64056,54228,52117,58746,Arches,2022-11-18T15:48:22.919+01:00
frequentation-gares,c00df6167fa102b79d0f7ad16e96945326e1d327,161190,181533,170559,b,118590,157769,128952,134473,168092,192154,87597120,36200,148238,153723,145226,126215,136447,Argenton-sur-Creuse,2022-11-18T15:48:22.919+01:00
frequentation-gares,5ea17200b71cad88454b3772ca8ae3970da70d8e,734699,670183,782385,b,358566,769614,646535,715084,812595,784438,87753657,13200,407461,690306,589761,677260,688498,Arles,2022-11-18T15:48:22.919+01:00
frequentation-gares,c137ad4d87ed92bb8b14f0d73e46e540e14ac734,5075699,3724885,5182086,a,2622169,5172884,4060559,4361839,5452299,5371360,87342014,62000,3277711,4297088,2979908,4138307,4145669,Arras,2022-11-18T15:48:22.919+01:00
frequentation-gares,d01a716b620c3ae2505918e26f7a1100c5f80d8d,7113,9504,6001,c,7471,6770,7113,7322,7322,8096,87394486,28290,7471,8096,9504,6770,6001,Arrou,2022-11-18T15:48:22.919+01:00
frequentation-gares,f65376cd188b45ef13b296b5a9026d7316174a5d,62685,74019,61368,c,60524,60354,62685,62856,62856,71415,87543058,45410,60524,71415,74019,60354,61368,Artenay,2022-11-18T15:48:22.919+01:00
frequentation-gares,59dae3601ba0f34f7016d9999bab9506c7216a96,6662,6209,8467,c,5011,7895,6662,8054,8054,8137,87594465,19190,5011,8137,6209,7895,8467,Aubazines - Saint-Hilaire,2022-11-18T15:48:22.919+01:00
frequentation-gares,689cd500136654fc355a56030bb5a68ddae23012,1414,7418,9640,c,589,7936,1414,5041,5041,1133,87317230,62770,589,1133,7418,7936,9640,Auchy-lès-Hesdin,2022-11-18T15:48:22.919+01:00
frequentation-gares,a583ac16474ca98f644d839195e4bb96d10e98e1,14323,14265,16984,c,10779,16471,14323,16234,16234,15635,87444059,14250,10779,15635,14265,16471,16984,Audrieu,2022-11-18T15:48:22.919+01:00
frequentation-gares,eb6cd2ade0bf4fe1429b29676dbe9bca28e18a22,291570,290404,288767,b,197448,292105,233256,244600,305750,312681,87281428,62370,246811,250145,232323,233684,231014,Audruicq,2022-11-18T15:48:22.919+01:00
frequentation-gares,ec9daa143a78d1ddfddbcbc31f88b31c8078f159,30121,21915,32939,c,16876,33197,30121,31784,31784,30190,87545657,28700,16876,30190,21915,33197,32939,Auneau,2022-11-18T15:48:22.919+01:00
frequentation-gares,a3e4f3cf19105f4e708d004c98d28b4fc21ac6ff,982728,1084849,988235,a,623457,998220,786183,829917,1037396,1109909,87476200,56400,779322,887927,867879,798576,790588,Auray,2022-11-18T15:48:22.919+01:00
frequentation-gares,30852f1c71f6abd4185e13472ae2fcd6215bf6db,338385,323215,337148,b,246666,340160,270708,284494,355617,373690,87713347,21130,308332,298952,258572,272128,269718,Auxonne,2022-11-18T15:48:22.919+01:00
frequentation-gares,652135424daac2d8971eeb417efd9b03d910656e,1804822,984899,1832910,b,836594,1838993,1804822,1836151,1836151,1773182,87543207,75016,836594,1773182,984899,1838993,1832910,Avenue du Président Kennedy Maison de Radio France,2022-11-18T15:48:22.919+01:00
frequentation-gares,af8d2179de8ee47f18c4f05e2a36a8196a05e3fb,15850,10155,19852,c,13740,17448,15850,17198,17198,21973,87718551,25690,13740,21973,10155,17448,19852,Avoudrey,2022-11-18T15:48:22.919+01:00
frequentation-gares,40c3bda9b237897fa373ed1525f9073539b067c8,16954,19124,28911,c,13362,23086,16954,24311,24311,16899,87448514,50300,13362,16899,19124,23086,28911,Avranches,2022-11-18T15:48:22.919+01:00
frequentation-gares,b91a9c45b931723c5af6fcf759dafdbf23e7bced,59687,41948,64703,c,42312,67550,59687,67310,67310,58894,87171561,51160,42312,58894,41948,67550,64703,Ay,2022-11-18T15:48:22.919+01:00
frequentation-gares,b968bfb87ae6bd417765886e5359c3f87aeeba64,9352,9707,13118,c,7205,12485,9352,11792,11792,11310,87437806,17440,7205,11310,9707,12485,13118,Aytré Plage,2022-11-18T15:48:22.919+01:00
frequentation-gares,480f228740c68dc17d6f9f7f16cf796e864efd2f,10053,8498,15799,c,7448,12881,10053,11678,11678,10951,87141408,54122,7448,10951,8498,12881,15799,Azerailles,2022-11-18T15:48:22.919+01:00
frequentation-gares,170b8d695927a8d7a05277f0f93629596debcece,14961932,6312246,13021148,a,5011999,13581113,14907773,14649835,14704083,15283854,87271494,95700,5035012,15227840,6281244,13534634,12976556,Aéroport Charles de Gaulle 2 TGV,2022-11-18T15:48:22.919+01:00
frequentation-gares,1b119efc512a062f28a8cdd9ecda7bc627251d61,3358,1924,4367,c,920,4038,3358,4727,4727,1569,87613604,46270,920,1569,1924,4038,4367,Bagnac-sur-Célé,2022-11-18T15:48:22.919+01:00
frequentation-gares,92ba38ed340d43c353e00e97af2800ae12876cd6,76427,95047,77159,c,67661,75577,76427,74398,74398,79178,87394411,28120,67661,79178,95047,75577,77159,Bailleau-le-Pin,2022-11-18T15:48:22.919+01:00
frequentation-gares,0a4317358b604f0454f23704f34a7493f6cc6a10,687,540,1035,c,640,1628,687,951,951,852,87342592,62580,640,852,540,1628,1035,Bailleul-Sir-Berthoult,2022-11-18T15:48:22.919+01:00
frequentation-gares,25fe7c0e696b18e61cbb1aa32399ce2b1a890dd7,10936,7808,14172,c,6145,11228,10936,11831,11831,10295,87313569,60250,6145,10295,7808,11228,14172,Balagny Saint-Épin,2022-11-18T15:48:22.919+01:00
frequentation-gares,49ef173aba1dd089a6611100fba56301bfe24a1e,22562,29217,23529,c,25645,23072,22562,22688,22688,28103,87474189,29380,25645,28103,29217,23072,23529,Bannalec,2022-11-18T15:48:22.919+01:00
frequentation-gares,b3d96630278b905e2fbfa7b80a625cea4bc63e5b,476511,422143,518672,b,279951,484575,381208,415280,519100,520730,87175042,55000,349939,416584,337714,387660,414938,Bar-le-Duc,2022-11-18T15:48:22.919+01:00
frequentation-gares,3ce90769d1ca303e4fe914eb505353a21aef64da,74247,75139,83007,c,79554,81953,74247,83462,83462,89686,87118299,10200,79554,89686,75139,81953,83007,Bar-sur-Aube,2022-11-18T15:48:22.919+01:00
frequentation-gares,2b8bc534ff5d78d117260ecd4194ab745bf1fd8e,6223,10006,5699,c,7645,6053,6223,6141,6141,9837,87615757,12160,7645,9837,10006,6053,5699,Baraqueville Carcenac Peyralès,2022-11-18T15:48:22.919+01:00
frequentation-gares,e50254d6c8b4934d8ff5042951dfc2a55d536599,17065,17115,23455,c,14286,21672,17065,20850,20850,19071,87582759,33720,14286,19071,17115,21672,23455,Barsac,2022-11-18T15:48:22.919+01:00
frequentation-gares,f60648007129bdd89bcf74cfaae6480021bd436a,14919,11469,11778,c,8932,11273,14919,12138,12138,16635,87574152,45130,8932,16635,11469,11273,11778,Baule,2022-11-18T15:48:22.919+01:00
frequentation-gares,e5dc02008271d0973c8187cb74482c1164eec895,200332,221292,219640,b,155122,212465,160265,170977,213721,230033,87718460,25110,193902,184027,177034,169972,175712,Baume-les-Dames,2022-11-18T15:48:22.919+01:00
frequentation-gares,52182562dc14f25876cca776d83070dca3a5b593,50573,72192,74680,c,52111,67474,50573,68316,68316,55961,87611723,31450,52111,55961,72192,67474,74680,Baziège,2022-11-18T15:48:22.919+01:00
frequentation-gares,29bbbb13f094ea57caea5a3245d785deeb6fbde7,2962,13682,26699,c,1744,23410,2962,13336,13336,2379,87317198,62990,1744,2379,13682,23410,26699,Beaurainville,2022-11-18T15:48:22.919+01:00
frequentation-gares,d534cbb3601cf3a951b0c6f3505390ddd76c740d,11,27,396,c,55,205,11,200,200,89,87491076,17800,55,89,27,205,396,Beillant,2022-11-18T15:48:22.919+01:00
frequentation-gares,7d0ef92380df36359e0f749dc98a04b31b593235,23040,20628,28800,c,17494,28504,23040,28306,28306,25006,87141804,54940,17494,25006,20628,28504,28800,Belleville,2022-11-18T15:48:22.919+01:00
frequentation-gares,fc7b09b82b133b2ee35842cb50f830fa1de0c593,188233,160085,173862,b,70829,178318,188233,182248,182248,182798,87276550,95270,70829,182798,160085,178318,173862,Belloy - Saint-Martin,2022-11-18T15:48:22.919+01:00
frequentation-gares,3af45ffbb1aceacdf789c8680b00dc366d2e75c7,33,46,2,c,23,10,33,4,4,78,87784892,66760,23,78,46,10,2,Bena Fanes,2022-11-18T15:48:22.919+01:00
frequentation-gares,c845417d70c7796290534bf27c008f3229d8332e,499387,432888,452956,b,361262,456915,494393,486730,491647,568087,87214122,67230,364911,562406,428559,452346,448426,Benfeld,2022-11-18T15:48:22.919+01:00
frequentation-gares,e30d84d712748280a21baa2049e8936dddfc06d2,339295,348562,361849,b,199226,343754,271436,297352,371690,231789,87584268,24100,249033,185431,278850,275003,289479,Bergerac,2022-11-18T15:48:22.919+01:00
frequentation-gares,80fc8b70b61d777cc57c1d98a7505729fab18de5,4566,3049,4818,c,3064,5404,4566,5126,5126,4347,87592352,87370,3064,4347,3049,5404,4818,Bersac-sur-Rivalier,2022-11-18T15:48:22.919+01:00
frequentation-gares,d860c6810ba10a1f5739fe551192e79f26babf93,21396,18806,19951,c,15676,20717,21396,20083,20083,21267,87215335,57930,15676,21267,18806,20717,19951,Berthelming,2022-11-18T15:48:22.919+01:00
frequentation-gares,b4045b52791649844dddc5d97695162fdb255210,2141025,2099019,2333037,a,1587747,2242759,1948332,2118267,2327766,2368816,87718007,25000,1744777,2155623,1910107,2040910,2123064,Besançon Viotte,2022-11-18T15:48:22.919+01:00
frequentation-gares,92b0035b068dc924a6b29b1d1adb31d6d97c4c94,707523,693514,635190,b,340303,668488,707523,700747,700747,737892,87276642,95550,340303,737892,693514,668488,635190,Bessancourt,2022-11-18T15:48:22.919+01:00
frequentation-gares,1ca8099c1f3a19ac25be78401f63984b05ee9a3d,1579,45,3041,c,806,3142,1579,2871,2871,1175,87144188,88430,806,1175,45,3142,3041,Biffontaine,2022-11-18T15:48:22.919+01:00
frequentation-gares,5664289447e4ec23ceeb0b2b32349e24d2e2e868,948818,954079,877757,b,658271,857708,853936,864473,960526,1064982,87582478,33380,731413,958484,858671,771937,789981,Biganos Facture,2022-11-18T15:48:22.919+01:00
frequentation-gares,7798d0a23bd7cde2219d88b99e25375e30fc7f62,284370,256868,314143,b,150711,244870,227496,239282,299102,341782,87757690,6410,188389,273426,205494,195896,251314,Biot,2022-11-18T15:48:22.919+01:00
frequentation-gares,a3b6c5c5444a652a528943d0e5e2399584689e1d,35558,36394,42547,c,36567,39990,35558,43707,43707,36585,87713073,21540,36567,36585,36394,39990,42547,Blaisy-Bas,2022-11-18T15:48:22.919+01:00
frequentation-gares,4cdd7f74cdbb5fd1207a01a5f49a1f34adfd6db9,174670,176794,160351,b,101869,159769,139736,139181,173976,182004,87574475,37150,127337,145603,141435,127815,128280,Bléré - La Croix,2022-11-18T15:48:22.919+01:00
frequentation-gares,67c23b20a21017ec2a677ca3511f92e76194afcf,28578,27078,49282,c,23861,46924,28578,25221,25221,35206,87721787,69620,23861,35206,27078,46924,49282,Bois-d'Oingt - Légny,2022-11-18T15:48:22.919+01:00
frequentation-gares,27482da3ea67282a4409f8fc0266f70ae195ef6e,1188,3333,1720,c,2147,1473,1188,1378,1378,1965,87784801,66210,2147,1965,3333,1473,1720,Bolquère - Eyne,2022-11-18T15:48:22.919+01:00
frequentation-gares,9f809b85fd3b2eb91d4f04f6750c400c1883acf3,4713,3107,6891,c,3261,8156,4713,7397,7397,4671,87478065,35270,3261,4671,3107,8156,6891,Bonnemain,2022-11-18T15:48:22.919+01:00
frequentation-gares,ccf69f10dca02e0b68b18189cbf859d067091abb,19853073,20314398,14891776,a,11184093,15059756,16080989,14979299,18492961,21821796,87581009,33800,13807523,17675655,16454662,12198403,12062338,Bordeaux Saint-Jean,2022-11-18T15:48:22.919+01:00
frequentation-gares,255226a31fa530db9289823471f75af24382110b,357726,302752,383316,b,208525,365365,286180,306739,383423,393366,87317016,62200,260656,314693,242201,292292,306653,Boulogne Tintelleries,2022-11-18T15:48:22.919+01:00
frequentation-gares,445176a7e3652dbfa063a389fba0ec9d93097809,11894,23267,25803,c,13038,22844,11894,15423,15423,19593,87757534,83700,13038,19593,23267,22844,25803,Boulouris sur Mer,2022-11-18T15:48:22.919+01:00
frequentation-gares,6950b7adde4c4ddc0569e89523c634acb2977341,1838905,1439055,1672808,b,922883,1771897,1765349,1838742,1915356,1933201,87723429,38300,961337,1855873,1381493,1701021,1605895,Bourgoin-Jallieu,2022-11-18T15:48:22.919+01:00
frequentation-gares,11fbab9aeb16ef8ff58a1e596f794c0c2dc087af,729,1058,1587,c,320,716,729,573,573,949,87486324,85480,320,949,1058,716,1587,Bournezeau,2022-11-18T15:48:22.919+01:00
frequentation-gares,287a5a2a157a39439fd308bb86ad4edcf87b304c,138473,155144,103948,c,83212,114171,138473,127852,127852,151614,87684118,77780,83212,151614,155144,114171,103948,Bourron-Marlotte - Grez,2022-11-18T15:48:22.919+01:00
frequentation-gares,ed6727714dd3d0b9af225eb611d8f2e36c3711ab,3585833,2906672,3725311,b,1921990,3712941,3585833,3677684,3677684,3487143,87682138,91800,1921990,3487143,2906672,3712941,3725311,Boussy-Saint-Antoine,2022-11-18T15:48:22.919+01:00
frequentation-gares,46c8eeba497c1f11c76e93714db811157b92a56b,33990,34858,36970,c,26961,32178,33990,37248,37248,43426,87726216,42160,26961,43426,34858,32178,36970,Bouthéon,2022-11-18T15:48:22.919+01:00
frequentation-gares,254f1aa6ddfb2ecb8a7d4ea1029831bf6e502dd9,27185,29562,31894,c,28763,31159,27185,28724,28724,30219,87182659,68380,28763,30219,29562,31159,31894,Breitenbach-Haut-Rhin,2022-11-18T15:48:22.919+01:00
frequentation-gares,cd1fde0d7bf3fc22b4915485c97aa07d3b24b8d5,3,1330,1431,c,380,514,3,451,451,152,87317180,62170,380,152,1330,514,1431,Brimeux,2022-11-18T15:48:22.919+01:00
frequentation-gares,39ee9e78a9804c51d74d9c4728d5bf79825b54f8,32292,34660,44243,c,25344,38422,32292,32521,32521,35922,87131961,1460,25344,35922,34660,38422,44243,Brion - Montréal-la-Cluse,2022-11-18T15:48:22.919+01:00
frequentation-gares,4c97ced700af48cf726cfb831fb28d9fa602c90f,34356,31297,32692,c,24431,34775,34356,35494,35494,37420,87448084,61220,24431,37420,31297,34775,32692,Briouze,2022-11-18T15:48:22.919+01:00
frequentation-gares,b1c2e4e48f030c9e804fd175065fee4db38c7389,948604,971200,1113072,a,538164,1045725,758883,864600,1080750,1012543,87594002,19100,672706,810034,776960,836580,890457,Brive-la-Gaillarde,2022-11-18T15:48:22.919+01:00
frequentation-gares,290b7722954c869015d76b509c38a500055e6f32,6919,5014,5896,c,5732,6225,6919,7856,7856,4836,87694166,71190,5732,4836,5014,6225,5896,Broye,2022-11-18T15:48:22.919+01:00
frequentation-gares,9119a3af6ee62f3dc566ced28f82c4e80656c05d,5045320,3464332,4604922,b,920246,4792605,5045320,4964873,4964873,5141272,87682120,91800,920246,5141272,3464332,4792605,4604922,Brunoy,2022-11-18T15:48:22.919+01:00
frequentation-gares,9bc1fb65dee69f9920cba15c82341587a1dd023f,5992,5689,7142,c,4761,5815,5992,5810,5810,7502,87592162,19170,4761,7502,5689,5815,7142,Bugeat,2022-11-18T15:48:22.919+01:00
frequentation-gares,973c7eb3cf8c1d68d7228dd6a26bae36c0df4ea1,2632,2579,2244,c,2843,2704,2632,3036,3036,2990,87316067,80300,2843,2990,2579,2704,2244,Buire-sur-l'Ancre,2022-11-18T15:48:22.919+01:00
frequentation-gares,5a78eaf563f5ab27560c4c0b9978961e23f95860,373914,441033,448317,b,263846,435792,299131,355110,443887,414505,87613000,46000,329807,331604,352827,348633,358654,Cahors,2022-11-18T15:48:22.919+01:00
frequentation-gares,b2e5b1e078cef3a0f917b9b0201f7661cf605f88,77459,95563,67959,c,74013,73501,77459,89868,89868,99635,87756395,6320,74013,99635,95563,73501,67959,Cap-d'Ail,2022-11-18T15:48:22.919+01:00
frequentation-gares,5782ddc91b10ee229f0888b73d1e919cd0f94792,20816,14028,31371,c,10707,28893,20816,24363,24363,20213,87172353,8110,10707,20213,14028,28893,31371,Carignan,2022-11-18T15:48:22.919+01:00
frequentation-gares,e61b76f5bb0c71d97fdf1dc75376d2808da8aa33,309127,348633,368305,b,207782,372905,247301,307949,384937,352252,87615039,11400,259728,281801,278907,298324,294644,Castelnaudary,2022-11-18T15:48:22.919+01:00
frequentation-gares,aaa6d951a7b6537595a36ea09813853f62f4adb7,165780,181516,187413,b,106766,173563,132624,148967,186208,126556,87584136,33350,133458,101245,145213,138851,149930,Castillon-la-Bataille,2022-11-18T15:48:22.919+01:00
frequentation-gares,1f37611d04936a73bb9dadeccc92713696f9a74b,132101,126324,144088,b,82399,133481,105680,115496,144371,160222,87345561,59540,102999,128178,101059,106785,115271,Caudry,2022-11-18T15:48:22.919+01:00
frequentation-gares,143b6f2c9f5da7957acfd4b5333e815ef024ca53,45131,49281,27383,c,42095,31786,45131,36453,36453,55299,87473066,22350,42095,55299,49281,31786,27383,Caulnes,2022-11-18T15:48:22.919+01:00
frequentation-gares,8804fd5abbf74b279380ae33377f4e45b444b393,12279673,2055037,11996226,b,5992100,12213175,12279673,12347999,12347999,12236286,87381905,95800,5992100,12236286,2055037,12213175,11996226,Cergy Préfecture,2022-11-18T15:48:22.919+01:00
frequentation-gares,20bc210136a5b231fee0f29da3b1738bd378fb78,16505,22195,17180,c,16085,14990,16505,16052,16052,22302,87583690,16210,16085,22302,22195,14990,17180,Chalais,2022-11-18T15:48:22.919+01:00
frequentation-gares,89eed0b46ec8d4486bd493a05cef226e08725a2d,53895,74932,63772,c,57749,58208,53895,58963,58963,80015,87683128,89340,57749,80015,74932,58208,63772,Champigny sur Yonne,2022-11-18T15:48:22.919+01:00
frequentation-gares,b41f5694d9865bdf8c8491bbe42b2293058f236c,757040,826353,838046,b,331726,823290,757040,796777,796777,719119,87381475,78570,331726,719119,826353,823290,838046,Chanteloup-les-Vignes,2022-11-18T15:48:22.919+01:00
frequentation-gares,307e16d2602f377da1861106344a89c3de305c84,17660,12552,19927,c,8294,16152,17660,15532,15532,17727,87486332,85110,8294,17727,12552,16152,19927,Chantonnay,2022-11-18T15:48:22.919+01:00
frequentation-gares,23571f8f1e4c5d10b6e86d8aec986d3675a13205,80970,89155,59240,c,74261,65119,80970,77448,77448,91801,87722710,69630,74261,91801,89155,65119,59240,Chaponost,2022-11-18T15:48:22.919+01:00
frequentation-gares,1971f90a04c320f367c9c120fc5c5789379f4de4,302447,265726,283231,b,182340,294320,241958,253010,316262,315943,87721530,69260,227926,252754,212581,235456,226585,Charbonnières-les-Bains,2022-11-18T15:48:22.919+01:00
frequentation-gares,47346928fc1882e02ede85dd0809fc039adce203,210567,186583,204576,b,61405,207620,210567,211762,211762,216668,87381194,95750,61405,216668,186583,207620,204576,Chars,2022-11-18T15:48:22.919+01:00
frequentation-gares,3aab1bbaaa46eec8f851e0524a82c503144de5fc,481459,368713,600403,b,217313,562790,337021,391954,559935,490468,87142000,52000,310448,343328,258099,393953,420282,Chaumont,2022-11-18T15:48:22.919+01:00
frequentation-gares,ce672927b88343d82a3f3885658d2ef3ce3babc7,1623827,817000,1963899,b,538929,1860522,1623827,1754176,1754176,1505780,87393173,92370,538929,1505780,817000,1860522,1963899,Chaville - Vélizy,2022-11-18T15:48:22.919+01:00
frequentation-gares,b741921c60979e22e1ffb037f258932a0dc525a7,10902348,7258472,10591778,b,5503458,10797607,10902348,10947125,10947125,10874698,87116111,77500,5503458,10874698,7258472,10797607,10591778,Chelles - Gournay,2022-11-18T15:48:22.919+01:00
frequentation-gares,4e0e1433abfddc675f5cfae50a59482510733738,1025321,455942,998852,b,343304,1018999,1025321,1033197,1033197,1027095,87393637,91380,343304,1027095,455942,1018999,998852,Chilly-Mazarin,2022-11-18T15:48:22.919+01:00
frequentation-gares,08ba24d54072ec40952bc9ce4ec0d9c32a5ef423,15,20,87,c,59,15,15,25,25,22,87783290,48100,59,22,20,15,87,Chirac,2022-11-18T15:48:22.919+01:00
frequentation-gares,3d5c015d3193d6e112be7a5bcb8670ce2139272a,4462,3386,6723,c,3389,6643,4462,5183,5183,5799,87342220,62920,3389,5799,3386,6643,6723,Chocques,2022-11-18T15:48:22.919+01:00
frequentation-gares,f9a096c08c476f3581094363ef36bc62c8f4bf3f,588766,564293,690784,b,321851,651787,471013,541162,676452,624853,87484303,49280,402313,499882,451435,521430,552627,Cholet,2022-11-18T15:48:22.919+01:00
frequentation-gares,0c8ac5ab303e130b662c06d999fb84a52a8f8b77,31432,11083,39276,c,7155,38741,31432,40836,40836,18133,87751230,4160,7155,18133,11083,38741,39276,Château-Arnoux-Saint-Auban,2022-11-18T15:48:22.919+01:00
frequentation-gares,ed67b71103c7edfdebe5063a561babde755e7996,3358,5504,3856,c,3302,4606,3358,4982,4982,3720,87543066,28210,3302,3720,5504,4606,3856,Château-Gaillard,2022-11-18T15:48:22.919+01:00
frequentation-gares,111d9699c44069c9f7fb507e2c3de9bb7d45b46a,58237,69991,66646,c,52114,61802,58237,57896,57896,68702,87574665,37110,52114,68702,69991,61802,66646,Château-Renault,2022-11-18T15:48:22.919+01:00
frequentation-gares,d8375237b48172cd4638d7bd2fd1213e3541cc3f,521666,486621,487793,b,358738,502365,417333,419143,523929,581537,87471524,35220,448423,465229,389297,401892,390234,Châteaubourg,2022-11-18T15:48:22.919+01:00
frequentation-gares,539659d56c05c5d86fddc0a0fb182dbf7f57585c,910567,771747,981109,a,560045,938803,728454,787944,984930,1006520,87597005,36000,700057,805216,617397,751042,784887,Châteauroux,2022-11-18T15:48:22.919+01:00
frequentation-gares,42b7033976ec921916c6629922f213fde65a5cf8,32450133,23513054,29526620,,7980634,30742412,32450133,31827871,31827871,32978142,87758607,75001,7980634,32978142,23513054,30742412,29526620,Châtelet les Halles,2022-11-18T15:48:22.919+01:00
frequentation-gares,26b709e9586498782b5da7f1f9116c029029de70,98091,92186,123392,b,57628,123578,78473,104090,130112,102217,87611376,31550,72035,81773,73749,98862,98714,Cintegabelle,2022-11-18T15:48:22.919+01:00
frequentation-gares,2bf0c88a5f4814d7f5ddcc82ff01d0d2bc305829,310048,278096,386177,b,198483,362136,248038,306582,383228,326766,87782607,63000,248104,261412,222476,289709,308942,Clermont La Pardieu,2022-11-18T15:48:22.919+01:00
frequentation-gares,892121b64e8429900ba56185d67d9ccba1d47d73,1144411,1004422,1154895,b,709439,1148242,926973,980153,1210066,1211075,87313304,60600,875850,980971,813582,930076,935465,Clermont de l'Oise,2022-11-18T15:48:22.919+01:00
