datasetid,recordid,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2021,total_voyageurs_non_voyageurs_2015,segmentation_drg,total_voyageurs_2020,total_voyageurs_non_voyageurs_2016,total_voyageurs_2018,totalvoyageurs2017,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2019,code_uic_complet,code_postal,total_voyageurs_non_voyageurs_2020,total_voyageurs_2019,total_voyageurs_2021,total_voyageurs_2016,total_voyageurs_2015,nom_gare,record_timestamp
frequentation-gares,62b6705ea5c10dd3c2ec961176a66e358289f47f,507089,399633,483439,b,240867,495986,507089,507106,507106,511516,87545475,91520,240867,511516,399633,495986,483439,Égly,2022-11-18T15:48:22.919+01:00
frequentation-gares,35401f76d20b55e01088631016d406a9420e9040,29200,28467,30275,c,24628,28939,29200,32609,32609,30020,87741280,73220,24628,30020,28467,28939,30275,Épierre - Saint-Léger,2022-11-18T15:48:22.919+01:00
frequentation-gares,b4bdba2b5cb5b2f706d18da23d9fc284b4a6665a,43353,50499,45347,c,48741,47593,43353,48453,48453,48324,87718536,25580,48741,48324,50499,47593,45347,Étalans,2022-11-18T15:48:22.919+01:00
frequentation-gares,5657814a2b90dbd392c3b07af31949a1fe0050a1,381459,425925,419092,b,268566,385762,354757,377338,405740,418185,87317065,62630,288781,388912,396110,358759,389755,Étaples - Le Touquet,2022-11-18T15:48:22.919+01:00
frequentation-gares,ae9e2d60fe61e31fa0af9ab8f2a903424263deef,61562,25656,57751,c,20760,55988,61562,57633,57633,50986,87484154,49330,20760,50986,25656,55988,57751,Étriché - Châteauneuf,2022-11-18T15:48:22.919+01:00
frequentation-gares,6c35a98371c0df710c17b30612d391a798f1681e,1361615,984374,1424346,a,693195,1384892,1089292,1162631,1453288,1411717,87387001,27000,866494,1129373,787499,1107913,1139477,Évreux Normandie,2022-11-18T15:48:22.919+01:00
frequentation-gares,f48352fce4a4bc3e81647ff768fddf0032b6576e,226638,150103,226459,b,93350,234454,181310,192127,240159,202621,87478552,53600,116687,162097,120082,187563,181167,Évron,2022-11-18T15:48:22.919+01:00
frequentation-gares,1dbc2703886fa415962e6711dfcbffdbb1f1297f,1462108,1594567,1427319,b,660309,1453063,1462108,1471462,1471462,1457253,87545269,94480,660309,1457253,1594567,1453063,1427319,Ablon-sur-Seine,2022-11-18T15:48:22.919+01:00
frequentation-gares,ea61d2ec6795404bf06d5ba2711a795b8b3f4202,228032,209673,241046,b,126513,238687,228032,235698,235698,221003,87386052,78100,126513,221003,209673,238687,241046,Achères Grand Cormier,2022-11-18T15:48:22.919+01:00
frequentation-gares,2f34c9d533da51cf650ebcd9decb4812247e39a7,1386499,1480009,1478938,a,860964,1427026,1109199,1194455,1493068,1514154,87586008,47000,1076205,1211323,1184007,1141620,1183150,Agen,2022-11-18T15:48:22.919+01:00
